<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
03/01/22;000000;295.9;305.5;294.34;305.47;50156260
04/01/22;000000;305.51;310.1;301.63;304.24;53268220
05/01/22;000000;303.56;304.26;287;287.01;70015940
06/01/22;000000;286.86;295.1;281;293.92;79329410
10/01/22;000000;295.53;298.88;288.68;291.69;67393720
11/01/22;000000;292.93;293.94;288.71;291.88;58894910
12/01/22;000000;292.5;292.92;285.05;290.4;81815210
13/01/22;000000;289.69;290.37;269.9;272.5;211547650
14/01/22;000000;272.39;277.98;249.2;261;406232780
17/01/22;000000;262.2;264.01;247;257.78;248613210
18/01/22;000000;258.8;259.39;228.09;234.7;484049150
19/01/22;000000;232.89;249;221.03;244.86;360884470
20/01/22;000000;244.12;263;240.01;254.61;329059220
21/01/22;000000;252.98;259.08;246;246.9;295614320
24/01/22;000000;246.51;249.88;226;236.97;325615680
25/01/22;000000;236.99;243.55;231;239.59;232503340
26/01/22;000000;240.06;245.17;233.3;236.9;224800440
27/01/22;000000;234.99;260;233.1;254.29;301187890
28/01/22;000000;255.86;262;252.02;257.82;204153960
31/01/22;000000;258.88;269.6;258.81;269.42;156087540
01/02/22;000000;269.71;273.1;260.56;264.7;170357700
02/02/22;000000;265.8;266.91;254.52;261;170198890
03/02/22;000000;258.45;259.87;250.06;250.79;151127560
04/02/22;000000;251.99;259.74;251.91;256.53;126990670
07/02/22;000000;257;260.53;253.52;257.61;85547520
08/02/22;000000;257.61;269.9;256.52;269.8;161498400
09/02/22;000000;270.01;279.71;270;279.09;193232800
10/02/22;000000;279.21;282.3;273.67;275.2;180119880
11/02/22;000000;274.88;275.87;259.61;260.83;213783420
14/02/22;000000;256.69;259.5;245.1;256.7;357398630
15/02/22;000000;257.6;274;257.51;274;271473810
16/02/22;000000;276.88;281;274.15;277.78;195684110
17/02/22;000000;277;277;259.36;260.58;262060710
18/02/22;000000;262.14;267;245;250.28;270538090
21/02/22;000000;249.12;258.32;184.3;201;1084339130
22/02/22;000000;198.72;219.9;182.03;208.53;945941710
24/02/22;000000;186.58;187.54;89.59;132.18;828329350
25/02/22;000000;123.75;152.89;115.11;131.12;396287150
24/03/22;000000;131;156.2;130.15;136.24;153705270
25/03/22;000000;137.1;147;128.2;131.5;57307510
28/03/22;000000;130.6;131.47;125;125;32756540
29/03/22;000000;126.19;137.57;122;128.77;72242360
30/03/22;000000;136.5;138.4;131.11;134.6;35411460
31/03/22;000000;135.2;147.41;134.52;143.69;118239240
01/04/22;000000;144.99;155.4;144.51;154.5;118603620
04/04/22;000000;158.76;166.88;150.2;166;115516920
05/04/22;000000;169.83;169.9;147.76;154.1;130008010
06/04/22;000000;143.52;153.3;140.65;141.6;108343440
07/04/22;000000;143.2;149.9;142.5;147.5;58520280
08/04/22;000000;149.01;151;141.06;143.72;48314240
11/04/22;000000;144.12;146.98;138.5;138.69;47482340
12/04/22;000000;138.84;140.1;130.35;135.38;75342120
13/04/22;000000;136.78;138.14;132.72;135.5;38947640
14/04/22;000000;135.7;135.89;129.05;129.05;44206040
15/04/22;000000;128.55;131.72;125.12;130.88;46693490
18/04/22;000000;131.45;132.68;123.7;123.85;58331430
19/04/22;000000;123.85;123.85;115.36;120.3;79797640
20/04/22;000000;120.9;125.44;117.51;121.5;66509740
21/04/22;000000;121.97;123.05;117.85;118.65;40607300
22/04/22;000000;118.69;122.32;115.55;116.97;57392470
25/04/22;000000;115.95;116.4;111.5;111.9;45714280
26/04/22;000000;112.58;124.92;111.9;122.36;83480680
27/04/22;000000;123.01;131.73;120.6;131.11;115400220
28/04/22;000000;132.14;134.5;123.05;123.85;123344490
29/04/22;000000;123.6;130;122.8;128.8;87296290
04/05/22;000000;129.1;131.5;122.5;123.2;67177440
05/05/22;000000;124.21;125.54;122.75;124.8;42303350
06/05/22;000000;124.74;124.99;121.52;123.1;30558900
11/05/22;000000;123.01;126.05;121.86;123.34;32776680
12/05/22;000000;123.1;123.74;118.05;119.15;30817890
13/05/22;000000;120.45;121.59;118.2;120.2;22762650
16/05/22;000000;120.7;123.5;119.5;123.41;34889180
17/05/22;000000;124.01;127.78;123.65;127.75;41838840
18/05/22;000000;128.2;131.3;125;125.12;55422410
19/05/22;000000;125.31;126.86;123.21;125.6;34146310
20/05/22;000000;126.07;127;121.05;122.2;39225870
23/05/22;000000;121.51;122.5;118.9;119.46;37711030
24/05/22;000000;119.45;125;117.1;123.6;45091260
25/05/22;000000;124.12;125.5;120.5;124.15;53466830
26/05/22;000000;124.81;125.99;122;123;51897210
27/05/22;000000;123.1;123.5;120.9;121.22;32523920
30/05/22;000000;121.6;123;120.21;120.67;24894090
31/05/22;000000;120;120;117.62;118.3;29907440
01/06/22;000000;117.5;122.69;117;121.97;43722390
02/06/22;000000;121.9;122.39;118.5;119;42732340
03/06/22;000000;119.29;120.16;117.18;119.21;34298730
06/06/22;000000;119.36;120.35;118.29;118.78;22191350
07/06/22;000000;118.65;118.9;117.32;118.32;22238300
08/06/22;000000;118.5;122.19;118.4;119.9;41488860
09/06/22;000000;120.06;120.2;117.7;118.2;29343850
10/06/22;000000;118.03;119.55;117.73;118.07;25343510
14/06/22;000000;118.04;119.88;115.8;118.98;37579410
15/06/22;000000;119.4;121.71;118.71;121.14;52145030
16/06/22;000000;121.5;123.73;120.41;123.73;47892000
17/06/22;000000;123.9;125.18;123.11;123.88;36503100
